text,author_id,created_at
"""Sacred Hands,"" a new online exhibition from @u_mspcoll, highlights the library's collection of early Jewish, Christian, and Islamic manuscripts. https://t.co/F7zfMgWB9m https://t.co/7TWdsdBrp0",89477148,2020-11-17T14:52:00.000Z
RT @GripTheRaven: Thanks to @CLIRHC we are in Year 3 of @MmwProject uncovering hidden manuscripts in our collections. But we're especially…,65746809,2020-07-15T00:32:52.000Z
"@mkirschenbaum @ZacharyLesser @owilliamsdc @wynkenhimself You'll get a range of examples if you search @FolgerLibrary's Luna Bindings collection for ""onlay/s"" and ""inlay/s"". I would also recommend looking into bindings associated with Islamic manuscripts, which can feature multiple colors of leather—and quite early.",65746809,2020-06-27T20:36:01.000Z
Graduate student Shabbir Agha Abbas pores over documents from the Libraries' Muslim World Manuscript Project (@MmwProject) for a broader &amp; more vibrant understanding of Islamic studies: https://t.co/KeyecCWvcP https://t.co/I3DareWPGS,68998562,2020-05-06T17:30:08.000Z
"RT @TranslatioBonn: Treasures of the week (VI): Islamic Heritage Project

A digital collection of hundreds of Islamic manuscripts, maps, an…",476223503,2020-04-14T13:00:45.000Z
RT @sameerahim: Why would you cut up a masterpiece? Christiane Gruber on the sordid practice of dividing up medieval Islamic manuscripts. P…,89477148,2019-10-17T12:31:32.000Z
"Follow @MmwProject to see illustrations from centuries-old Islamic manuscripts, all of which will be digitized as part of the ongoing Muslim World Manuscript Project in collaboration w/ the @FreeLibrary, @upennlib &amp; others. Learn more: https://t.co/npCNIC8TF9 https://t.co/2QCbhOdUFr",68998562,2019-08-07T18:15:30.000Z
St. Andrews is carrying out a grant-funded project to fully catalog its collection of Arabic and Islamic manuscripts. https://t.co/qbFUfbGbyX https://t.co/8MkJWBPjMD,89477148,2018-11-11T14:22:22.000Z
RT @IUSWSEEL: Arabic students and faculty braved the storm today to get a tour of IU Lilly Library's collection of Islamic Manuscripts. htt…,3816626429,2018-05-31T20:30:41.000Z
"RT @HarvardLibrary: The Islamic Heritage Project includes digitized copies of over 280 manuscripts, 275 printed texts, and 50 maps, totalin…",476223503,2018-01-27T17:20:42.000Z
Princeton builds on largest collection of Islamic manuscripts in North America with Qur’āns from around the world: https://t.co/ZMyNNYAht1 https://t.co/hrqPsX0xPf,89477148,2017-06-15T17:41:41.000Z
RT @IUSWSEEL: Workshop students enjoyed a tour of Islamic manuscripts at the @IULillyLibrary yesterday! #swseel2017 #swseel https://t.co/D7…,3816626429,2017-06-15T12:31:12.000Z
@Ultimate2nn I think this is cool--University of Michigan completed a major project to digitize Islamic manuscripts: https://t.co/N1RlgyRWZJ,89477148,2016-12-20T02:22:16.000Z
Congratulations to @u_mspcoll on the completion of an eight-year project to digitize its Islamic manuscripts: https://t.co/sWKuPXTQA2 https://t.co/Qg3OyZzL9h,89477148,2016-12-18T16:11:02.000Z
We'll have another free tour of Islamic manuscripts on 11/18 -- stay tuned for details in the coming weeks. https://t.co/6LxJkuCVyx,3816626429,2015-10-06T20:40:56.000Z
RT @bookhistoryX: .@Harvard Prof Ann Blair and Meredith Quinn filming a segment on Islamic Manuscripts at @HoughtonLib http://t.co/643dGKq4…,476223503,2014-10-28T17:34:00.000Z
RT @AlexanderMKey: Arabic &amp; Persian Manuscripts Sep 2014 with @Islamic_MSS @abbasiprogram @StanfordLibs @StanfordCompLit @CMEMSStanford htt…,545432826,2014-05-22T22:53:37.000Z
"RT @incunabula: This is fabulous! ""Mouse &amp; Manuscript"" is a new series of more than 50 lessons (23 already online) on codicology and palaeo…",34720331,2020-12-19T21:48:02.000Z
"RT @CornellAsiaLib: Ali Houissa, Curator of Middle Eastern and Islamica collections made a presentation on rare early Islamic manuscripts a…",7857772,2020-10-08T15:46:03.000Z
RT @bookforum: Learn about Islamic book art through Indiana University's Lilly Library; French illuminated manuscripts through Chicago’s @N…,23824100,2020-04-17T16:08:30.000Z
"RT @MmwProject: Time on your hands? OPenn hosts 500+ Islamic manuscripts (so far), mostly unresearched, from @GripTheRaven @columbialib @up…",26785044,2020-03-18T17:00:03.000Z
"Yale University began to systematically collect Islamic and Near Eastern manuscripts in the nineteenth century, establishing itself as one of the first academic institutions to do so. https://t.co/INjNOn2058",34720331,2020-03-15T10:55:01.000Z
"Persian culture produced luxurious manuscripts that blended scientific &amp; mythological information about the natural world to inspire learning. The mountain goat in Islamic manuscripts was considered a protector—learn more in our ""Book of Beasts"" exhibition https://t.co/rRI4OZhfIb https://t.co/qakxXEIwpu",16568227,2019-07-03T17:01:15.000Z
"RT @MENALibAHS: #EidMubarak to everyone celebrating! As our celebration, allow me to use a famous miniature to share some of the strengths…",52838996,2019-06-04T18:35:00.000Z
"The Islamic Heritage Project includes digitized copies of over 280 manuscripts, 275 printed texts, and 50 maps, totaling over 156,000 pages. 🔗:https://t.co/WLe1iKgU65 https://t.co/Pcv7mcXUUU",52838996,2018-01-27T17:10:17.000Z
RT @biblissima: Links to online #islamic #manuscripts collections @upennlib http://t.co/SZ700Sxycl,26785044,2014-04-25T20:36:03.000Z
"It could be said that the Morgan collection of Islamic manuscripts, in particular, was born of a love affair: http://t.co/q9ZyflQIIk",20710330,2014-03-25T20:07:38.000Z
Nowruz Mubarak! Let's celebrate the Persian New Year #onthisday. Browse our collection of Persian manuscripts http://t.co/21zgyyasSY,20710330,2014-03-21T15:15:08.000Z
Explore Islamic manuscripts full of extraordinary paintings http://t.co/unVANwvpxM,20710330,2013-07-08T17:07:37.000Z
"RT @heartchitecture: Thanks for putting your Islamic manuscripts online, @MorganLibrary! Glorious. http://t.co/bpDXGGCAJb",20710330,2013-06-04T14:21:00.000Z
How Belle da Costa Greene factored into our Islamic manuscripts: http://t.co/rD5YwUdyyS,20710330,2013-05-15T16:01:17.000Z
Have you browsed through our Islamic manuscripts lately? http://t.co/XokFq8kThK,20710330,2013-05-15T15:01:40.000Z
"It could be said that the Morgan collection of Islamic manuscripts, in particular, was born of a love affair: http://t.co/6DjPmha2",20710330,2013-03-05T22:01:01.000Z
Scroll through manuscripts depicting the life and miracles of the poet #Rumi http://t.co/gbPFEwJ5,20710330,2012-10-03T16:21:23.000Z
"It could be said that the Morgan collection of Islamic manuscripts, in particular, was born of a love affair: http://t.co/6DjPmha2",20710330,2012-06-06T15:46:33.000Z
It was at the urging of visionary #librarian Belle da Costa Greene that P. Morgan acquired these #Islamic manuscripts: http://t.co/WfgmbjMc,20710330,2012-05-10T16:20:02.000Z
@brainpickings Thanks for the fabulous #Rumi &amp; #Islamic manuscripts shout-out!,20710330,2012-03-19T16:29:30.000Z
"Beautiful #Qur'ans from our Treasures of Islamic Manuscripts exhibition, thanks to Islamic Arts & Architecture http://t.co/jrKzn0Vh",20710330,2012-01-26T21:09:58.000Z
Ever see a spotted pink #dragon? From our Islamic manuscripts exhibition: http://t.co/2TxvE8GF,20710330,2012-01-23T16:22:14.000Z
"Camel crossing! Take a look at this odd, revengeful camel from our Islamic manuscripts online exhibition:  http://t.co/0SFcAtCr",20710330,2011-12-05T20:53:16.000Z
"Zoom in on this lion made up of intertwined animals, human beings, and monsters from our Islamic manuscripts show: http://t.co/OZVrjNI2",20710330,2011-12-01T21:00:17.000Z
Wow! Walters Islamic Manuscripts-From a quintet of poems: in the wilderness with Majūn and Laylá http://t.co/KqctMgD6 /via @walters_museum,16814283,2011-11-16T22:17:01.000Z
"Fabulous! RT @e_seife: Went to the @morganlibrary for the revolutionary france exhibit, but was hypnotized by the islamic manuscripts",20710330,2011-11-14T14:33:26.000Z
Thanks @artnetdotcom! RT: The Morgan Library & Museum launches extensive Islamic Manuscripts online exhibition http://t.co/D3mjEBYh,20710330,2011-11-10T21:12:19.000Z
Thanks to @HuffingtonPost for this beautiful look at our #Islamic Manuscripts exhibition! http://t.co/7bXKIqpW #art,20710330,2011-11-09T19:34:34.000Z
Illuminated Islamic manuscripts and handwritten Qurans displayed at the Morgan Library and Museum http://t.co/WcH6uYZj via @ahramonline,20710330,2011-10-24T15:18:39.000Z
"Check out: Medieval Islamic manuscripts on display at the Morgan, NYC  http://t.co/3AITE5M8 via @gadling",20710330,2011-10-21T21:05:09.000Z
"Dickens, Louvre, Ingres, Islamic manuscripts! We're excited about our fall exhibition lineup: http://t.co/VGSxL8X",20710330,2011-08-17T13:50:18.000Z
RT @walters_museum: Walters Islamic Manuscripts - Map of the city of Taranto; beautiful bird-view from Piri Reis http://ow.ly/58xw6,16814283,2011-06-07T13:19:30.000Z
"RT @MedievalMss The Walters Art Museum Islamic Manuscripts- cont’d from yesterday,The Eastern part of Venice;1525 CE http://ow.ly/1YW5V",20710330,2010-06-24T13:53:23.000Z
RT @walters_museum: “Poetry and Prayer: Islamic Manuscripts from the Walters” is now an on-line exhibition http://ow.ly/1JK3a,16814283,2010-05-12T19:22:04.000Z
RT @MedievalMss Baltimore Sun story http://ow.ly/zyc8 on the @walters_museum project to digitize Islamic manuscripts. http://ow.ly/zyfJ,20710330,2009-11-05T17:12:24.000Z
